300,2448,17791,923401
301,449,4579,546745
302,478,17084,552770
303,542,4424,550156
304,449,3790,553523
305,440,2420,555445
306,471,12910,545505
307,476,3926,553259
308,476,3969,554781
309,468,1692,560260
310,469,2641,558917
311,484,2633,559255
312,474,2746,564910
313,487,2731,569086
314,492,1483,564099
315,512,4511,567611
316,501,2652,568708
317,504,1661,571060
318,506,15006,574038
319,506,6242,576496
320,488,4994,579754
321,529,5481,604140
322,495,5762,582185
323,663,2399,612544
324,690,1673,597601
325,522,4876,596279
326,550,2164,597379
327,522,2261,604817
328,524,2283,594974
329,524,5630,596763
330,518,5958,598210
331,529,2597,596349
332,546,2950,613641
333,575,1467,594351
334,542,2839,598644
335,581,5694,599798
336,694,6651,608185
337,711,2845,604049
338,717,3020,602403
339,612,4176,601420
340,582,2935,605140
341,578,7496,603369
342,651,4309,614502
343,636,5168,608524
344,698,6305,606468
345,568,6376,609065
346,601,4080,610283
347,624,5487,612761
348,648,8340,618301
349,642,3138,614320
350,669,3973,620306
351,662,3020,615677
352,730,3446,615090
353,765,4483,616826
354,792,3743,619655
355,638,5027,617552
356,664,3395,619859
357,692,4953,618915
358,642,3586,622254
359,654,7025,626613
360,656,7697,624061
361,672,4347,622207
362,695,6667,622366
363,699,3818,625776
364,697,8963,633136
365,738,4397,628031
366,711,10617,631218
367,705,11102,631015
368,697,4655,638900
369,693,7650,636535
370,724,5947,632545
371,696,4085,634937
372,721,5278,638680
373,739,4813,640931
374,1056,13259,647562
375,742,7573,640803
376,766,7984,640774
377,715,8937,639181
378,733,7673,639503
379,750,4743,638052
380,782,5542,639784
381,853,7864,654758
382,812,8524,674089
383,870,6045,690787
384,865,6036,678790
385,827,6131,673882
386,829,6205,673569
387,838,6109,675340
388,851,5922,672570
389,861,6067,673955
390,836,4946,671569
391,1105,31501,680367
392,939,14310,672285
393,881,9874,671215
394,873,9871,673103
395,876,5178,663111
396,921,6217,674037
397,900,32107,662227
398,880,6398,672220
399,930,6373,677350
400,918,5184,677729
401,943,6267,677102
402,893,7027,681080
403,935,5365,673504
404,936,7074,670688
405,960,9422,671144
406,925,9614,673681
407,962,10182,677029
408,947,9652,676648
409,943,9354,673831
410,956,6896,674311
411,1005,6570,674605
412,954,10579,673922
413,983,6496,681405
414,942,11022,689832
415,1016,9710,678123
416,969,7222,675960
417,954,7200,683072
418,979,7612,685246
419,970,6566,679487
420,1019,7259,682787
421,1017,10493,681260
422,1013,12676,684831
423,1003,7917,682486
424,1079,9909,684476
425,1069,5702,685774
426,1060,23204,683447
427,1031,6911,686508
428,1064,6916,686090
429,1060,7419,683686
430,1074,7032,685618
431,1067,5838,683062
432,1081,6975,684594
433,1091,15980,685395
434,1170,16805,688639
435,1132,5897,693204
436,1102,7134,689764
437,1088,4678,694116
438,1102,7309,690334
439,1113,11634,695103
440,1155,17683,697508
441,1150,7845,698318
442,1134,12660,693835
443,1174,12972,692909
444,1184,5600,695971
445,1168,10729,695089
446,1179,6930,713722
447,1236,10033,713344
448,1238,10045,703031
449,1155,9933,760538
450,1222,15320,770147
451,1226,10108,716919
452,1601,4931,735619
453,1256,11833,706146
454,1184,12808,701203
455,1256,4681,701831
456,1208,7325,706415
457,1196,6048,708595
458,1252,6110,703359
459,1208,7334,709164
460,1279,9445,709197
461,1231,6843,705854
462,1313,6861,706754
463,1296,5485,705656
464,1220,34055,758168
465,1242,10716,713293
466,1281,8961,710024
467,1293,9626,716791
468,1313,10584,714810
469,1280,7380,717249
470,1339,7160,716559
471,1320,7032,713404
472,1356,10504,719865
473,1330,7294,716065
474,1382,10039,720345
475,1361,7165,722986
476,1351,7299,722505
477,1362,7258,712990
478,1351,4622,710425
479,1363,5596,709126
480,1322,6004,713161
481,1385,4491,713612
482,1427,6222,713801
483,1476,5701,711162
484,1450,5597,712652
485,1442,4366,712145
486,1422,6348,715266
487,1434,4115,711044
488,1449,6269,718396
489,1425,9623,713466
490,1456,6472,716048
491,1453,4464,716500
492,1452,4534,716983
493,1458,5769,715818
494,1473,4200,718339
495,1488,5657,714738
496,1430,3933,715995
497,1511,5564,716247
498,1523,4051,716661
499,1520,3995,715117
500,1498,6710,714350
501,1525,4158,716274
502,1503,6680,715233
503,1478,6884,716569
504,1549,6592,715924
505,1555,6388,716030
506,1570,9510,721277
507,1880,13829,719240
508,1528,9974,718555
509,1579,6622,721577
510,1583,4126,717642
